iter	Logloss
0	0.6892365999
1	0.6853582777
2	0.6815669446
3	0.677804209
4	0.6742514263
5	0.6707220555
6	0.6672813223
7	0.6638754234
8	0.6606126017
9	0.6573679885
10	0.6541257837
11	0.6509699565
12	0.6479469948
13	0.6450090818
14	0.6421388276
15	0.6393174872
16	0.6365592191
17	0.6338823208
18	0.631171502
19	0.6285511021
20	0.625988004
21	0.6234933431
22	0.6210406121
23	0.6185773958
24	0.6162064153
25	0.6138850997
26	0.6116060077
27	0.6093562325
28	0.6072160045
29	0.6051302815
30	0.6031210516
31	0.601114634
32	0.5991680049
33	0.5972380288
34	0.5953881905
35	0.5935076812
36	0.5917246456
37	0.5899552409
38	0.588251293
39	0.5865107652
40	0.5848695935
41	0.5832455188
42	0.5816883163
43	0.5801189982
44	0.5785884616
45	0.5770995809
46	0.5756488592
47	0.5742485709
48	0.5728621324
49	0.5714611964
50	0.570120453
51	0.5688181543
52	0.5675083898
53	0.5662284333
54	0.5650227369
55	0.563833509
56	0.5626174089
57	0.5614737748
58	0.5602720442
59	0.5591869504
60	0.5581115503
61	0.5570636263
62	0.5559876105
63	0.5549836156
64	0.5539359914
65	0.5529884903
66	0.5520331051
67	0.5511192349
68	0.5501608315
69	0.5492474352
70	0.5483748905
71	0.5475423023
72	0.546688775
73	0.5458318594
74	0.5450453725
75	0.544258495
76	0.5435015263
77	0.5427483382
78	0.5420012678
79	0.5412420746
80	0.540518507
81	0.5398250214
82	0.5391178764
83	0.5384560735
84	0.5378189172
85	0.5371693364
86	0.5365200246
87	0.5359141992
88	0.5353002187
89	0.5346773489
90	0.5341221251
91	0.5335557805
92	0.5330290496
93	0.5324752092
94	0.5319450338
95	0.5313928856
96	0.5308813861
97	0.5303791147
98	0.529897887
99	0.5294400034
100	0.5289622215
101	0.5285223895
102	0.5280749058
103	0.5275884132
104	0.5271360689
105	0.5267007835
106	0.5262698639
107	0.5258466207
108	0.525458694
109	0.52502936
110	0.5246187246
111	0.5241949432
112	0.5238089817
113	0.5234339439
114	0.5230673029
115	0.5226726666
116	0.5222975341
117	0.521950238
118	0.5216354346
119	0.5213250127
120	0.520983886
121	0.5206758025
122	0.5203599147
123	0.520042103
124	0.5197580786
125	0.519481156
126	0.5191609641
127	0.5188719833
128	0.5185911922
129	0.5183163735
130	0.5180362817
131	0.5177684423
