iter	Logloss
132	0.5175080897
133	0.5172608937
134	0.5170420178
135	0.5168048166
136	0.5165630339
137	0.516350225
138	0.5160996986
139	0.5158807401
140	0.5156488784
141	0.5154339481
142	0.5152232342
143	0.5150090436
144	0.5147785042
145	0.5145672764
146	0.5143781125
147	0.5141662917
148	0.5139742648
149	0.513757688
150	0.5135466812
151	0.5133458582
152	0.5131367646
153	0.512947564
154	0.512755485
155	0.5125711227
156	0.5124125084
157	0.512260364
158	0.5121042476
159	0.5119449006
160	0.5117881489
161	0.5116547815
162	0.5115259038
163	0.5113956786
164	0.511223986
165	0.5110800665
166	0.510937481
167	0.5108023047
168	0.5106593693
169	0.5105295036
170	0.5103966381
171	0.5102546158
172	0.5101261353
173	0.5099969267
174	0.5098672609
175	0.5097542557
176	0.5096126868
177	0.5094498265
178	0.5093281588
179	0.509199806
180	0.5090980405
181	0.5089753198
182	0.5088763675
183	0.5087600293
184	0.5086425412
185	0.5085303951
186	0.5084209121
187	0.5083151453
188	0.5082307992
189	0.5081307656
190	0.5080284214
191	0.5079110092
192	0.5078033995
193	0.5077106659
194	0.5076167659
195	0.5075267841
196	0.5074289991
197	0.5073385226
198	0.5072627161
199	0.5071675659
200	0.5070764573
201	0.5069733738
202	0.5068794322
203	0.5067941608
204	0.5067262357
205	0.5066453267
206	0.5065639178
207	0.506502723
208	0.5064185422
209	0.5063356743
210	0.5062684406
211	0.5061822941
212	0.5061156603
213	0.5060233556
214	0.5059529846
215	0.5058728026
216	0.5057899713
217	0.5057147482
218	0.5056538865
219	0.5055903256
220	0.5055026666
221	0.505428163
222	0.5053599984
223	0.5052972894
224	0.5052361041
225	0.5051698284
226	0.5050995499
227	0.5050307048
228	0.504960792
229	0.5048986323
230	0.5048171554
231	0.5047578214
232	0.5047126114
233	0.5046453669
234	0.5045740938
235	0.5045328893
236	0.5044714
237	0.5044179124
238	0.5043607369
239	0.5043000952
240	0.5042597656
241	0.5042134114
242	0.5041595761
243	0.5041130299
244	0.5040523022
245	0.5039922783
246	0.5039411979
247	0.5038866521
248	0.5038159072
249	0.5037676519
250	0.5037189627
251	0.5036672506
252	0.503611328
253	0.5035745197
254	0.5035333975
255	0.5034847557
256	0.5034382856
257	0.5033953897
258	0.5033341926
259	0.5032792949
260	0.5032256442
261	0.5031745572
262	0.5031243492
263	0.5030848696
264	0.5030307689
265	0.5029892967
266	0.5029454219
267	0.5029046221
268	0.5028604942
269	0.5028118951
270	0.5027641281
271	0.5027286854
272	0.5026780915
273	0.5026360964
274	0.5025969647
275	0.502552646
276	0.5025109874
277	0.5024640947
278	0.5024413762
279	0.5024151758
280	0.5023772182
281	0.5023359051
282	0.5022990223
283	0.5022660041
284	0.5022205978
285	0.5021888807
286	0.5021534793
287	0.5021136051
288	0.5020756741
289	0.5020375279
290	0.5019968734
291	0.5019602581
292	0.5019300202
293	0.5019027131
294	0.5018632608
295	0.5018220942
296	0.5017843889
297	0.5017314106
298	0.5017021947
299	0.5016714688
300	0.5016464374
301	0.5016133344
302	0.5015762046
303	0.5015344683
304	0.5015079187
305	0.5014845753
306	0.5014546574
307	0.5014236303
308	0.5013754936
309	0.5013470737
310	0.5013237711
311	0.5012888606
312	0.5012544899
313	0.5012120655
314	0.5011782914
315	0.5011426997
316	0.5010985554
317	0.5010618381
318	0.5010275813
319	0.5009995567
320	0.5009517958
321	0.5009195276
322	0.50087838
323	0.5008506342
324	0.5008251416
325	0.5007752613
326	0.5007389644
327	0.5006970132
328	0.5006677959
329	0.5006394343
330	0.500595791
331	0.5005752457
332	0.5005496116
333	0.5004970385
334	0.5004757697
335	0.5004281208
336	0.5004030712
337	0.5003650792
338	0.500329686
339	0.5002956691
340	0.5002528163
341	0.5002353816
342	0.5002153022
343	0.5001899693
344	0.5001612943
345	0.5001358118
346	0.5001067549
347	0.5000778548
348	0.5000456908
349	0.5000071829
350	0.4999756549
351	0.4999578432
352	0.4999298832
353	0.4999080279
354	0.4998850248
355	0.4998579307
356	0.4998322502
357	0.4998009304
358	0.4997693688
359	0.4997490122
360	0.4997198039
361	0.4996840752
362	0.4996593476
363	0.4996388914
364	0.4996173164
365	0.4995907819
366	0.4995590676
367	0.4995091136
368	0.4994932678
369	0.4994605632
370	0.4994264247
371	0.4993831619
372	0.499362279
373	0.4993266504
374	0.4993027732
375	0.4992815921
376	0.4992563219
377	0.4992262556
378	0.4992048224
379	0.4991870326
380	0.4991527565
381	0.4991156549
382	0.4990921601
383	0.4990664839
384	0.4990393143
385	0.4990193088
386	0.4989988183
387	0.4989777523
388	0.4989454406
389	0.4989284508
390	0.4989102858
391	0.4988830792
392	0.4988537201
393	0.4988309467
394	0.4987874448
395	0.4987690769
396	0.4987341057
397	0.4986997372
398	0.4986701574
399	0.4986432606
400	0.4986267549
401	0.4985823317
402	0.4985591391
403	0.4985418084
404	0.4985014582
405	0.4984778344
406	0.4984547551
407	0.4984301555
408	0.4984080675
409	0.4983907114
410	0.498362217
411	0.4983457155
412	0.4983097879
413	0.4982926571
414	0.4982753933
415	0.4982485027
416	0.4982103876
417	0.4981879831
418	0.4981697523
419	0.4981359806
420	0.4981100138
421	0.4980894664
422	0.498072073
423	0.498058895
424	0.498034998
425	0.4980096607
426	0.4979755249
427	0.4979622339
428	0.4979408742
429	0.4979207916
430	0.497893084
431	0.4978665387
432	0.497838261
433	0.4978147227
434	0.4977813448
435	0.497740461
436	0.4977187061
437	0.497702422
438	0.4976753539
439	0.4976558421
440	0.4976370843
441	0.4976156865
442	0.4975871234
443	0.4975655456
444	0.497541299
445	0.4975158758
446	0.4974811723
447	0.4974444968
448	0.497423193
449	0.497400431
450	0.4973802286
451	0.4973530814
452	0.4973309686
453	0.4973117858
454	0.4972939332
455	0.4972804444
456	0.4972500461
457	0.4972203346
458	0.4971985915
459	0.4971801221
460	0.4971485594
461	0.4971182227
462	0.4970968429
463	0.4970607375
464	0.4970398964
465	0.496989433
466	0.4969729726
467	0.4969424399
468	0.496923316
469	0.4969014795
470	0.4968653195
471	0.496850418
472	0.4968287608
473	0.4968136283
474	0.4967863877
475	0.4967445191
476	0.496721749
477	0.4967107263
478	0.4966833884
479	0.4966526619
480	0.4966269157
481	0.49658913
482	0.4965721832
483	0.4965438697
484	0.4965186595
485	0.4964885326
486	0.4964712511
487	0.4964506059
488	0.4964168653
489	0.4963956162
490	0.4963711232
491	0.4963465006
492	0.4963307555
493	0.4963071947
494	0.4962763218
495	0.4962525905
496	0.4962312694
497	0.4962066116
498	0.4961814915
499	0.4961535238
